driverId,circuitId,lap,statusId,position_lap,driver_name
4,7,62,1,2,Fernando Alonso
858,9,30,1,16,Logan Sargeant
822,3,13,1,10,Valtteri Bottas
848,70,40,11,11,Alexander Albon
20,15,41,1,7,Sebastian Vettel
840,9,45,1,11,Lance Stroll
825,3,28,1,6,Kevin Magnussen
817,77,27,6,11,Daniel Ricciardo
854,32,3,11,17,Mick Schumacher
1,73,51,1,6,Lewis Hamilton
839,21,27,11,11,Esteban Ocon
844,9,1,1,4,Charles Leclerc
842,1,22,1,15,Pierre Gasly
839,4,63,1,7,Esteban Ocon
855,32,48,11,16,Guanyu Zhou
846,73,41,1,9,Lando Norris
856,7,7,11,17,Nyck de Vries
852,32,1,130,11,Yuki Tsunoda
830,3,32,1,1,Max Verstappen
830,70,45,1,1,Max Verstappen
848,77,23,23,13,Alexander Albon
1,1,57,1,4,Lewis Hamilton
855,3,1,1,19,Guanyu Zhou
20,13,15,1,10,Sebastian Vettel
815,9,14,1,15,Sergio Pérez
852,4,53,1,9,Yuki Tsunoda
857,6,35,11,11,Oscar Piastri
822,7,37,1,10,Valtteri Bottas
839,34,5,1,9,Esteban Ocon
857,4,18,11,15,Oscar Piastri
847,18,66,1,1,George Russell
855,73,23,9,16,Guanyu Zhou
4,39,5,1,13,Fernando Alonso
839,34,31,1,9,Esteban Ocon
855,4,18,1,11,Guanyu Zhou
1,22,11,1,5,Lewis Hamilton
4,3,33,1,4,Fernando Alonso
842,13,4,1,16,Pierre Gasly
847,13,30,1,6,George Russell
857,73,2,1,11,Oscar Piastri
854,11,57,11,15,Mick Schumacher
846,3,41,1,16,Lando Norris
847,18,8,1,1,George Russell
852,77,9,1,13,Yuki Tsunoda
815,39,21,1,5,Sergio Pérez
832,39,4,1,3,Carlos Sainz
847,24,47,1,6,George Russell
848,39,34,1,13,Alexander Albon
830,39,19,1,3,Max Verstappen
855,18,65,1,12,Guanyu Zhou
830,7,12,1,1,Max Verstappen
830,34,16,1,5,Max Verstappen
822,14,49,11,13,Valtteri Bottas
4,3,29,1,6,Fernando Alonso
846,6,8,1,5,Lando Norris
825,3,39,11,16,Kevin Magnussen
846,21,48,1,4,Lando Norris
840,13,14,1,5,Lance Stroll
848,73,36,11,13,Alexander Albon
844,7,59,1,4,Charles Leclerc
1,18,43,1,3,Lewis Hamilton
847,3,22,1,6,George Russell
825,4,53,11,17,Kevin Magnussen
844,77,47,1,2,Charles Leclerc
842,73,43,1,16,Pierre Gasly
817,9,14,1,10,Daniel Ricciardo
848,73,6,1,12,Alexander Albon
4,69,1,1,12,Fernando Alonso
847,22,12,1,11,George Russell
825,21,31,1,8,Kevin Magnussen
1,22,25,1,5,Lewis Hamilton
807,11,67,11,14,Nico Hülkenberg
840,9,13,1,14,Lance Stroll
817,11,49,11,13,Daniel Ricciardo
858,1,28,4,15,Logan Sargeant
856,7,66,11,18,Nyck de Vries
846,14,11,1,7,Lando Norris
839,70,40,1,5,Esteban Ocon
840,4,40,1,8,Lance Stroll
1,18,32,1,4,Lewis Hamilton
846,6,69,11,9,Lando Norris
830,32,62,1,1,Max Verstappen
825,69,2,1,18,Kevin Magnussen
852,15,14,3,10,Yuki Tsunoda
817,11,14,11,11,Daniel Ricciardo
839,77,6,1,6,Esteban Ocon
842,4,29,1,12,Pierre Gasly
20,18,30,1,7,Sebastian Vettel
852,9,52,1,16,Yuki Tsunoda
844,79,37,1,2,Charles Leclerc
854,39,58,1,13,Mick Schumacher
852,70,38,11,18,Yuki Tsunoda
20,21,43,1,7,Sebastian Vettel
852,32,9,130,11,Yuki Tsunoda
855,7,54,1,10,Guanyu Zhou
832,9,25,1,5,Carlos Sainz
20,6,43,1,11,Sebastian Vettel
844,18,52,1,7,Charles Leclerc
847,1,16,5,4,George Russell
20,1,11,3,19,Sebastian Vettel
856,9,29,1,17,Nyck de Vries
849,69,16,1,19,Nicholas Latifi
857,9,8,1,3,Oscar Piastri
847,70,64,1,8,George Russell
1,7,21,1,2,Lewis Hamilton
857,11,35,1,3,Oscar Piastri
847,69,49,1,5,George Russell
20,21,62,1,8,Sebastian Vettel
839,4,53,1,8,Esteban Ocon
842,70,14,11,17,Pierre Gasly
815,18,71,1,7,Sergio Pérez
840,1,20,1,14,Lance Stroll
844,70,43,1,1,Charles Leclerc
825,1,21,3,14,Kevin Magnussen
830,6,8,1,4,Max Verstappen
842,4,25,1,13,Pierre Gasly
825,9,13,5,18,Kevin Magnussen
848,32,53,11,12,Alexander Albon
830,18,52,1,10,Max Verstappen
856,4,12,11,19,Nyck de Vries
825,6,12,130,16,Kevin Magnussen
844,70,23,1,1,Charles Leclerc
815,1,48,1,7,Sergio Pérez
817,13,29,1,16,Daniel Ricciardo
856,14,37,1,10,Nyck de Vries
