raceId,year,circuitId,name_x,date,quali_date,driverId,constructorId,grid,points,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,qualifyId,number_y,position_y,q1,q2,q3,code,constructorRef,circuitRef,name,location,country,lat,lng,alt
1,2009,1,Australian Grand Prix,2009-03-29,2009-03-28,18,23,1,10.0,5655784,17,3,1:28.020,216.891,1,2986,22,1,1:25.211,1:24.855,1:26.202,BUT,brawn,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
1,2009,1,Australian Grand Prix,2009-03-29,2009-03-28,22,23,2,8.0,5656591,43,14,1:29.066,214.344,1,2987,23,2,1:25.006,1:24.783,1:26.505,BAR,brawn,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
18,2008,1,Australian Grand Prix,2008-03-16,2008-03-15,18,11,12,0.0,\N,\N,\N,\N,\N,4,13,16,13,1:26.712,1:26.259,\N,BUT,honda,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
36,2007,1,Australian Grand Prix,2007-03-18,2007-03-17,18,11,14,0.0,\N,42,17,1:28.387,215.991,11,382,7,14,1:27.540,1:27.264,\N,BUT,honda,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
55,2006,1,Australian Grand Prix,2006-04-02,2006-04-01,18,11,1,0.0,\N,17,8,1:27.799,217.437,11,787,12,1,1:28.081,1:26.337,1:25.229,BUT,honda,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
18,2008,1,Australian Grand Prix,2008-03-16,2008-03-15,22,11,10,0.0,\N,44,8,1:28.736,215.141,2,11,17,11,1:26.369,1:26.173,\N,BAR,honda,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
36,2007,1,Australian Grand Prix,2007-03-18,2007-03-17,22,11,16,0.0,\N,17,14,1:28.098,216.699,11,385,8,17,1:27.679,\N,\N,BAR,honda,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
55,2006,1,Australian Grand Prix,2006-04-02,2006-04-01,22,11,16,2.0,5719770,32,6,1:27.690,217.707,1,803,11,17,1:29.943,\N,\N,BAR,honda,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
71,2005,1,Australian Grand Prix,2005-03-06,2005-03-05,18,16,8,0.0,\N,55,5,1:26.260,221.316,11,4428,3,8,1:41.512,1:30.616,\N,BUT,bar,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
90,2004,1,Australian Grand Prix,2004-03-07,2004-03-06,18,16,4,3.0,5126355,24,7,1:25.982,222.032,1,4084,9,4,1:24.998,\N,\N,BUT,bar,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
108,2003,1,Australian Grand Prix,2003-03-09,2003-03-08,18,16,8,0.0,5748074,\N,\N,\N,\N,1,3789,17,8,1:28.682,\N,\N,BUT,bar,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
71,2005,1,Australian Grand Prix,2005-03-06,2005-03-05,11,16,20,0.0,\N,36,16,1:27.877,217.244,12,4439,4,19,\N,\N,\N,SAT,bar,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
90,2004,1,Australian Grand Prix,2004-03-07,2004-03-06,11,16,7,0.0,\N,43,8,1:26.077,221.787,11,4087,10,7,1:25.851,\N,\N,SAT,bar,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
108,2003,1,Australian Grand Prix,2003-03-09,2003-03-08,35,16,6,0.0,5747636,\N,\N,\N,\N,1,3787,16,6,1:28.420,\N,\N,VIL,bar,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
158,2000,1,Australian Grand Prix,2000-03-12,2000-03-11,35,16,8,3.0,5686434,\N,\N,\N,\N,1,1510,22,8,1:31.968,\N,\N,VIL,bar,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
175,1999,1,Australian Grand Prix,1999-03-07,1999-03-06,35,16,11,0.0,\N,\N,\N,\N,\N,65,1601,22,11,1:32.888,\N,\N,VIL,bar,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
158,2000,1,Australian Grand Prix,2000-03-12,2000-03-11,41,16,16,1.0,5688455,\N,\N,\N,\N,1,1518,23,16,1:33.117,\N,\N,ZON,bar,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
175,1999,1,Australian Grand Prix,1999-03-07,1999-03-06,41,16,19,0.0,\N,\N,\N,\N,\N,6,1609,23,19,1:34.412,\N,\N,ZON,bar,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
